Time,Agent 1,Agent 2,Agent 3,Agent 4
136.4,872.291997984,140.0,140.0,872.291997984
136.5,874.895002605,145.0,145.0,874.895002605
136.6,877.444951884,150.0,150.0,877.444951884
136.7,879.942927056,155.0,155.0,879.942927056
136.8,882.389987396,160.0,160.0,882.389987396
136.9,884.787170632,165.0,165.0,884.787170632
137.0,887.13549336,170.0,170.0,887.13549336
137.1,889.435951468,175.0,175.0,889.435951468
137.2,891.689520549,180.0,180.0,891.689520549
137.3,893.897156315,185.0,185.0,893.897156315
137.4,896.059794999,190.0,190.0,896.059794999
137.5,898.178353752,195.0,195.0,898.178353752
137.6,900.253731033,200.0,200.0,900.253731033
137.7,902.286806985,205.0,205.0,902.286806985
137.8,904.278443816,210.0,210.0,904.278443816
137.9,906.229486156,215.0,215.0,906.229486156
138.0,908.140761422,220.0,220.0,908.140761422
138.1,910.013080166,225.0,225.0,910.013080166
138.2,911.847236417,230.0,230.0,911.847236417
138.3,913.644008023,235.0,235.0,913.644008023
138.4,915.404156973,240.0,240.0,915.404156973
138.5,917.12842973,245.0,245.0,917.12842973
138.6,918.817557538,250.0,250.0,918.817557538
138.7,920.472256739,255.0,255.0,920.472256739
138.8,922.093229073,260.0,260.0,922.093229073
138.9,923.681161977,265.0,265.0,923.681161977
139.0,925.236728876,270.0,270.0,925.236728876
139.1,926.76058947,275.0,275.0,926.76058947
139.2,928.253390012,280.0,280.0,928.253390012
139.3,929.715763582,285.0,285.0,929.715763582
139.4,931.148330358,290.0,290.0,931.148330358
139.5,932.551697875,295.0,295.0,932.551697875
139.6,933.926461288,300.0,300.0,933.926461288
139.7,935.273203618,305.0,305.0,935.273203618
139.8,936.592496004,310.0,310.0,936.592496004
139.9,937.884897945,315.0,315.0,937.884897945
140.0,939.150957534,320.0,320.0,939.150957534
140.1,940.391211694,325.0,325.0,940.391211694
140.2,941.606186402,330.0,330.0,941.606186402
140.3,942.796396918,335.0,335.0,942.796396918
140.4,943.962347996,340.0,340.0,943.962347996
140.5,945.104534104,345.0,345.0,945.104534104
140.6,946.223439631,350.0,350.0,946.223439631
140.7,947.319539093,355.0,355.0,947.319539093
140.8,948.393297333,360.0,360.0,948.393297333
140.9,949.445169722,365.0,365.0,949.445169722
141.0,950.475602346,370.0,370.0,950.475602346
141.1,951.485032203,375.0,375.0,951.485032203
141.2,952.473887379,380.0,380.0,952.473887379
141.3,953.442587238,385.0,385.0,953.442587238
141.4,954.391542595,390.0,390.0,954.391542595
141.5,955.321155893,395.0,395.0,955.321155893
141.6,956.231821369,400.0,400.0,956.231821369
141.7,957.123925228,405.0,405.0,957.123925228
141.8,957.997845802,410.0,410.0,957.997845802
141.9,958.85395371,415.0,415.0,958.85395371
142.0,959.692612019,420.0,420.0,959.692612019
142.1,960.514176395,425.0,425.0,960.514176395
142.2,961.318995255,430.0,430.0,961.318995255
142.3,962.107409913,435.0,435.0,962.107409913
142.4,962.879754728,440.0,440.0,962.879754728
142.5,963.636357244,445.0,445.0,963.636357244
142.6,964.377538327,450.0,450.0,964.377538327
142.7,965.103612304,455.0,455.0,965.103612304
142.8,965.814887095,460.0,460.0,965.814887095
142.9,966.511664345,465.0,465.0,966.511664345
143.0,967.19423955,470.0,470.0,967.19423955
143.1,967.862902181,475.0,475.0,967.862902181
143.2,968.517935813,479.984748562,479.984748562,968.517935813
143.3,969.159618236,484.924442581,484.924442581,969.159618236
143.4,969.788221584,489.797513024,489.797513024,969.788221584
143.5,970.404012438,494.593756057,494.593756057,970.404012438
143.6,971.00725195,499.308743304,499.308743304,971.00725195
143.7,971.598195947,503.940974763,503.940974763,971.598195947
143.8,972.177095042,508.490428786,508.490428786,972.177095042
143.9,972.74419474,512.957823695,512.957823695,972.74419474
144.0,973.299735542,517.344241882,517.344241882,973.299735542
144.1,973.843953047,521.650938558,521.650938558,973.843953047
144.2,974.377078051,525.879244545,525.879244545,974.377078051
144.3,974.899336648,530.03051698,530.03051698,974.899336648
144.4,975.410950321,534.106114411,534.106114411,975.410950321
144.5,975.912136041,538.107384319,538.107384319,975.912136041
144.6,976.403106354,542.035656961,542.035656961,976.403106354
144.7,976.884069477,545.892242444,545.892242444,976.884069477
144.8,977.355229381,549.678429419,549.678429419,977.355229381
144.9,977.816785879,553.395484617,553.395484617,977.816785879
145.0,978.268934713,557.044652799,557.044652799,978.268934713
145.1,978.711867634,560.62715692,560.62715692,978.711867634
145.2,979.145772485,564.144198394,564.144198394,979.145772485
145.3,979.570833281,567.596957409,567.596957409,979.570833281
145.4,979.987230285,570.986593269,570.986593269,979.987230285
145.5,980.395140088,574.314244739,574.314244739,980.395140088
145.6,980.794735678,577.581030393,577.581030393,980.794735678
145.7,981.186186521,580.788048963,580.788048963,981.186186521
145.8,981.569658626,583.936379678,583.936379678,981.569658626
145.9,981.945314621,587.027082603,587.027082603,981.945314621
146.0,982.313313816,590.061198973,590.061198973,982.313313816
146.1,982.673812276,593.039751517,593.039751517,982.673812276
146.2,983.026962885,595.963744783,595.963744783,983.026962885
146.3,983.372915409,598.834165452,598.834165452,983.372915409
146.4,983.711816565,601.651982647,601.651982647,983.711816565
146.5,984.043810076,604.418148246,604.418148246,984.043810076
146.6,984.369036738,607.133597172,607.133597172,984.369036738
146.7,984.687634474,609.799247699,609.799247699,984.687634474
146.8,984.9997384,612.416001735,612.416001735,984.9997384
146.9,985.305480875,614.984745112,614.984745112,985.305480875
147.0,985.604991561,617.506347862,617.506347862,985.604991561
147.1,985.898397478,619.9816645,619.9816645,985.898397478
147.2,986.185823056,622.411534288,622.411534288,986.185823056
147.3,986.467390189,624.796781506,624.796781506,986.467390189
147.4,986.743218286,627.138215714,627.138215714,986.743218286
147.5,987.013424324,629.436632005,629.436632005,987.013424324
147.6,987.278122893,631.692811267,631.692811267,987.278122893
147.7,987.537426251,633.907520423,633.907520423,987.537426251
147.8,987.791444363,636.08151268,636.08151268,987.791444363
